Word | Noun
Himbo | Noun
69 | Number, GamerSuffix
420 | Number, GamerSuffix
3000 | Number, GamerSuffix
1 | Number, GamerSuffix
UWU | GamerSuffix
XXX | GamerSuffix
.TTV | GamerSuffix
@hotmail.com | Email
@gmail.com | Email
@canada.gov | Email
Hell | Place
Brazil | Place
Jail | Place
Laurier | Place
Waterloo | Place
The United States of America | Place
Dr.| Title
Mr. | Title
Ms. | Title
Mc | Title
ussy | Suffix
phobia | Suffix
Hater | Agentive
Killer | Agentive
Slayer | Agentive
Fucker | Agentive
Movie | MediaType
Anime | MediaType
Videogame | MediaType
Genshin | Adjective
Gay | Adjective
Twinky | Adjective
Rightwing | Adjective
Liberal | Adjective
Mentally Ill | Adjective
Vampiric | Adjective
Suicidal | Adjective
Depressed | Adjective
Straight White | Adjective
Horny | Adjective
Nice | Adjective
Fearless | Adjective
Phallic | Adjective
Huge | Adjective
Religious | Adjective
Vaping | Adjective
Sexy | Adjective
Hideous | Adjective
Political | Adjective
Terminally Ill | Adjective
Stupid | Adjective
Genshin | Adjective
Cishet | Adjective
Goopy | Adjective
Messy | Adjective
Undead | Adjective
Raging | Adjective
Skibidi | Adjective
Shitty | Adjective
Bloody | Adjective
Hot | Adjective
Sweaty | Adjective
Unidentified Flying | Adnoun
